Year,beer_litres,Population,cpi_index,beer_lpc,beer_lpc_yoy,beer_litres_yoy,cpi_yoy
2015,354398000.0,5659715,100.0,62.61764064091567,-0.034830231642426046,-0.029259340418538393,-0.02684291622739432
2016,368317000.0,5707251,100.10833333333332,64.5349223295068,0.030618874632883264,0.03927505234228179,0.001083333333333103
2017,357563000.0,5748769,101.58333333333331,62.198185385427735,-0.03620887512884874,-0.029197674829019582,0.014734038125364224
2018,360339000.0,5781190,104.58333333333331,62.32955498781393,0.0021121131038168706,0.00776366682235019,0.029532403609515923
2019,358822000.0,5806081,105.725,61.80106684698336,-0.008478933323587734,-0.004209924543277288,0.010916334661354776
2020,355101000.0,5822763,103.09166666666664,60.98496538498991,-0.013205297313298447,-0.010370044200188389,-0.02490738551272975
2021,383236000.0,5840045,103.09166666666664,65.6220970900053,0.07603729338439069,0.07923097935516932,0.0
2022,377750000.0,5873420,110.55,64.3151690156672,-0.019915975445672807,-0.014314939097579527,0.072346617088352
2023,357604000.0,5932654,118.95833333333331,60.27723848382191,-0.06278348628550823,-0.05333156849768361,0.07605909844715808
2024,363446000.0,5961249,124.49166666666667,60.968095779928,0.011461329574537604,0.016336506303061382,0.046514886164623626
