"Sales of alcohol and tobacco, subject to excises duties by time and type"

" ","Sales of lager equivalents, total (1000 litres) (alcohol 4,6 vol.)","Sales of wine, total (1000 litres)","Sales of spirits, total (1000 litres)","Sales of alcohol, total, pure alcohol (1000 litres)","Sales of beer, pure alcohol (1000 litres)","Sales of wine, pure alcohol (1000 litres)","Sales of spirits, pure alcohol (1000 litres)"
"1921",149500,4900,2437,8700,..,..,..
"1922",125200,5900,4413,8600,..,..,..
"1923",126800,6400,5900,9400,..,..,..
"1924",129500,6200,5228,9200,..,..,..
"1925",141800,4500,5681,9700,..,..,..
"1926",134900,5540,4894,9200,..,..,..
"1927",123700,4900,4698,8500,..,..,..
"1928",121198,5182,4303,8200,..,..,..
"1929",127636,7586,4786,9070,..,..,..
"1930",139196,6726,4344,9232,..,..,..
"1931",134800,6887,3920,8885,..,..,..
"1932",120074,6202,3102,7852,..,..,..
"1933",121344,6864,3315,8080,..,..,..
"1934",131280,7478,3639,8740,..,..,..
"1935",132783,7834,3879,8972,..,..,..
"1936",136400,8006,4036,9213,..,..,..
"1937",139482,8190,4215,9469,..,..,..
"1938",141661,8288,4218,9610,..,..,..
"1939",150565,8971,4460,10165,..,..,..
"1940",124279,7944,3566,8420,..,..,..
"1941",142996,9046,5407,9921,..,..,..
"1942",131792,7791,5893,9442,..,..,..
"1943",148416,7089,6992,10516,..,..,..
"1944",168701,7947,8127,11992,..,..,..
"1945",138060,8043,7744,10576,..,..,..
"1946",185187,11835,8592,13466,..,..,..
"1947",199000,12762,7911,13860,..,..,..
"1948",212000,14477,8281,14585,..,..,..
"1949",224000,11545,6000,13808,..,..,..
"1950",229000,12750,5816,14029,..,..,..
"1951",217000,9616,4272,14008,..,..,..
"1952",212000,10288,4695,14227,..,..,..
"1953",226000,11312,4766,15115,..,..,..
"1954",226000,12295,4975,15261,..,..,..
"1955",225435,11849,4189,13970,10370,1866,1734
"1956",..,12486,4347,..,..,1942,1805
"1957",..,12709,4738,..,..,1966,1968
"1958",..,12679,5026,..,..,1952,2132
"1959",..,13381,5718,..,..,2051,2430
"1960",290239,14000,6706,18345,13351,2140,2854
"1961",..,15326,8045,..,..,2318,3427
"1962",..,16219,7862,..,..,2445,3359
"1963",..,15545,8221,..,..,2330,3535
"1964",..,18127,9786,..,..,2700,4213
"1965",354065,19433,10563,23695,16287,2856,4552
"1966",391913,20311,10685,25589,18028,2955,4606
"1967",411478,21453,11053,26781,18928,3089,4764
"1968",428674,21454,10939,27500,19719,3069,4712
"1969",463043,25052,12728,29972,21300,3537,5135
"1970",490239,29070,14492,32860,22551,4072,6237
"1971",526500,33112,16484,35814,24219,4617,6978
"1972",564848,37355,18141,38845,25983,5193,7669
"1973",596152,53961,18205,42445,27423,7327,7695
"1974",592848,48776,19075,41845,27271,6638,7936
"1975",621130,58079,21414,45205,28572,7830,8803
"1976",630848,63553,23524,47107,29019,8557,9531
"1977",618978,59392,22312,45709,28473,7997,9239
"1978",625739,62425,16856,44019,28784,8329,6906
"1979",646022,71020,18356,46494,29717,9462,7315
"1980",654152,71779,19244,47197,30091,9506,7600
"1981",659109,82391,20003,49367,30319,10847,8201
"1982",676109,88805,20614,50977,31101,11630,8246
"1983",704587,96463,19565,52946,32411,12513,8022
"1984",684196,96413,19100,50743,31473,11630,7640
"1985",663065,105889,21180,51462,30501,12701,8260
"1986",664087,101466,20203,50731,30548,12102,8081
"1987",641891,105766,19216,50011,29527,12798,7686
"1988",634696,110563,18511,49970,29196,13555,7219
"1989",639717,103548,17638,49063,29427,12714,6922
"1990",640848,109574,16708,49643,29479,13435,6729
"1991",629239,113544,16340,49540,28945,13927,6668
"1992",637500,125612,14914,50867,29325,15384,6158
"1993",635196,130677,14074,50475,29219,15636,5620
"1994",643109,136462,13851,51567,29583,16335,5649
"1995",639935,144308,14046,52288,29437,17249,5602
"1996",632087,149056,15156,52690,29076,17795,5819
"1997",614000,154935,14676,52548,28244,18427,5877
"1998",569087,154113,15206,50532,26178,18397,5963
"1999",554232,158841,14559,50400,25495,18942,5963
"2000",544173,165033,14642,50845,25032,19689,6124
"2001",527513,167999,15600,50357,24266,20034,6057
"2002",520171,162726,20083,49476,23928,19345,6203
"2003",520607,164393,25442,50497,23948,19554,6995
"2004",486779,159134,24797,49442,22392,18941,8109
"2005",483620,164442,27527,49632,22247,19548,7837
"2006",473604,162426,23133,48800,21786,19229,7494
"2007",461647,167662,24618,48993,21236,19675,7764
"2008",440333,173798,23346,48049,20255,20067,7447
"2009",405923,175134,18288,45592,18672,19818,6861
"2010",382572,175388,16792,46797,17598,22416,6576
"2011",379669,172818,17501,47963,17465,23123,6917
"2012",356760,142709,18162,42694,16411,18937,6990
"2013",353157,151437,18931,44010,16245,20086,7337
"2014",365080,152620,19867,44902,16794,20269,7457
"2015",354398,150979,20272,44558,16302,20138,7791
"2016",368317,152210,20180,45304,16943,20246,7728
"2017",357563,149450,20439,44522,16448,19851,7838
"2018",360339,154398,20093,44781,16576,20269,7937
"2019",358822,150160,20276,44185,16506,19671,8009
"2020",355101,161493,19433,45285,16335,21274,7676
"2021",383236,169023,22897,48935,17629,22261,9044
"2022",377750,151390,22457,46023,17377,19776,8870
"2023",357604,150059,20713,44400,16450,19769,8182
"2024",363446,145320,19802,43741,16719,19201,7822

"The table replaces [ALKO4](https://www.Statbank.dk/ALKO4) and only "
"contain continued values. Sales numbers for cigarettes have been "
"corrected for the years 2018 and 2020 due to errors in the received "
"data from the Danish Tax Agency. "

